,pyridine,pyridazine,pyrimidine,pyrazine,pyrrole,pyrazole,imidazole,thiazole,oxazole,isoxazole,furan
pyridine,,10.734420234648788,3.620577638650995,11.800111982082866,0.8040413506980358,1.2675508705231782,0.7203721546428999,2.2028547900082343,1.7879948914431671,2.1529869939010937,6.083061207401825
pyridazine,12.288587536187718,,5.073899131494743,2.834069785159226,0.3428310223982934,1.257047082127076,1.676062776169435,3.0016760627761694,1.6608258418406217,0.7313728477830261,0.6932805119609934
pyrimidine,3.305770480184277,4.654883437452385,,3.927771556550951,0.0567007264780579,0.20650624270963838,0.31615078887149217,0.8578094976667582,1.125899038784701,0.3429103289489797,0.2909654190739345
pyrazine,13.695408734602466,3.230230077708365,4.568868980963046,,1.1226203807390818,1.312989921612542,0.593505039193729,2.0604703247480405,0.8166969147005444,0.8678611422172453,2.715565509518477
pyrrole,1.1417730054688526,0.47996343135761016,0.09627310849920266,1.5957446808510634,,1.3945651704324535,1.2992291942671323,0.7019332575193129,1.0889292196007256,0.3698532833663995,2.312023779619861
pyrazole,1.890525770078196,1.4627456955660514,0.2980947855013608,1.6797312430011195,1.1733701991618783,,1.0601805849570138,0.753892004235128,1.058681185722928,3.0347564111984715,0.02930586954701493
imidazole,0.9559797663495122,0.937071461222002,0.2634589907262435,0.7054871220604702,0.9763037456341082,1.0619086706700653,,1.8999254931179173,4.59097936411911,0.4776251010360789,0.7085740601188981
thiazole,2.04697854986079,1.2037178119762302,0.4588055370377631,1.5677491601343785,0.3784165326849927,0.315673895141367,1.288184777067566,,6.819251193116893,1.126705366546648,1.1115297663903543
oxazole,1.3006654567453115,0.9142160597287825,0.5377428244941856,0.5478255024534516,0.5679908583719836,0.5242992538818311,3.364253545741749,6.82261208576998,,0.6923438865362641,1.327552597970021
isoxazole,0.8327822274475224,0.36568642389151296,0.22534107330932962,0.8398656215005599,0.10042373919220121,1.7292478016998556,0.2547333872192421,1.1267053665466482,0.6923438865362641,,0.5951943566757293
furan,6.717323955455077,0.6932805119609933,0.2899187808758268,2.0184770436730126,1.6432219710290543,0.4312149376203634,0.5086661642803316,1.043498283513355,1.6636418632788867,1.016484189384476,
