Heterocycle,Count
pyridine,723521
pyridazine,56039
pyrimidine,180275
pyrazine,68098
pyrrole,223441
pyrazole,582708
imidazole,207530
thiazole,171507
oxazole,133836
isoxazole,193416
furan,216657
