,0
0,26.24278752337662
1,2.0325872642570184
2,6.538743893787077
3,2.469978542111288
4,8.104415334193197
5,21.135367504428682
6,7.527308391499831
7,6.220720282855306
8,4.8543576633969625
9,7.0153803298334285
10,7.858353270260585
