SM Substructure,PDT Substructure,#
pyridine,pyrrole,8.551330926
pyridazine,,
pyrimidine,pyrrole,11.50980571
pyrazine,imidazole,13.20013085
pyrrole,pyrimidine,15.33359648
pyrazole,pyrrole,15.47514473
imidazole,pyrazine,21.48346534
thiazole,imidazole,13.93832946
oxazole,pyrrole,28.1229618
isoxazole,pyrrole,21.58174678
furan,oxazole,22.91283131
