SM Substructure,PDT Substructure,#
pyridine,pyridazine,6.1227523325165425
pyridazine,imidazole,20.217600521921533
pyrimidine,pyrrole,11.50980570988337
pyrazine,imidazole,13.200130851509565
pyrrole,pyridazine,14.76689783024584
pyrazole,furan,0.2390541386259301
imidazole,pyridazine,12.921492446903022
thiazole,pyridazine,6.565931462355684
oxazole,pyridazine,8.637134982058381
isoxazole,pyridazine,8.555267385643301
furan,pyridazine,10.44849886998858
