SM Substructure,PDT Substructure,#
pyridine,pyrrole,0.427062862
pyridazine,,
pyrimidine,pyrrole,0.085389224
pyrazine,imidazole,0.219922226
pyrrole,pyrimidine,2.971122705
pyrazole,imidazole,4.378477877
imidazole,pyrazine,5.502023273
thiazole,pyrrole,0.768959388
oxazole,pyrrole,1.255594419
isoxazole,pyrrole,0.217973319
furan,oxazole,2.780990659
