SM Substructure,PDT Substructure,#
pyridine,oxazole,0.1424642567355868
pyridazine,pyrrole,0.3639893229798592
pyrimidine,pyrrole,0.0296864370090914
pyrazine,imidazole,0.2837714836429834
pyrrole,pyridazine,0.0403192258708632
pyrazole,furan,0.0234716202962453
imidazole,pyridazine,0.1279424155111975
thiazole,pyridazine,0.1534725594949004
oxazole,pyridazine,0.4014586330333545
isoxazole,pyrrole,0.1022316419399077
furan,pyridazine,0.0960929250263991
