SM Substructure,PDT Substructure,Value
pyridine,imidazole,2.07323025286052
pyridazine,pyrrole,2.082585278276481
pyrimidine,pyrrole,0.3477231359406353
pyrazine,imidazole,2.1253208901243847
pyrrole,pyrimidine,0.5640013330940599
pyrazole,furan,0.0195448536623501
imidazole,pyrimidine,0.7292250210977566
thiazole,pyrrole,0.8972649939560997
oxazole,pyrimidine,1.6701065432029898
isoxazole,pyrrole,0.3445350210389938
furan,pyrimidine,1.3070176685477108
