SM Substructure,PDT Substructure,Value
pyridine,pyrrole,26.028731560543804
pyridazine,pyrazole,28.729255444442064
pyrimidine,imidazole,11.801123783420826
pyrazine,imidazole,30.38598654262381
pyrrole,thiazole,22.563348615481672
pyrazole,pyrimidine,34.14715133744316
imidazole,pyrimidine,18.40149172139557
thiazole,pyrrole,13.71463488726136
oxazole,pyrrole,27.971316734801288
isoxazole,pyrrole,20.888718386727852
furan,isoxazole,32.440511520270334
