SM Substructure,PDT Substructure,#
pyrazole,furan,0.2390541386259301
pyridine,pyridazine,6.1227523325165425
thiazole,pyridazine,6.565931462355684
isoxazole,pyridazine,8.555267385643301
oxazole,pyridazine,8.637134982058381
furan,pyridazine,10.44849886998858
pyrimidine,pyrrole,11.50980570988337
imidazole,pyridazine,12.921492446903022
pyrazine,imidazole,13.200130851509565
pyrrole,pyridazine,14.76689783024584
