SM Substructure,PDT Substructure,#
pyrimidine,pyrrole,0.0567007259999999
pyrrole,pyrimidine,0.096273108919544
isoxazole,pyrrole,0.100423739
imidazole,pyrimidine,0.263458991
pyrazole,pyrimidine,0.298094786
thiazole,pyrrole,0.378416533
oxazole,pyrrole,0.567990858
pyrazine,imidazole,0.593505039
pyridine,pyrrole,0.8040413501068625
furan,isoxazole,1.0164841888820637
