X,Y,Value
isoxazole,pyrrole,0.218145605
pyrimidine,pyrrole,0.2651423786262386
pyrazine,imidazole,0.4210464352523819
pyrimidine,imidazole,0.5210152969414371
thiazole,pyrrole,0.745731981
pyrazine,pyrrole,1.091331043
pyrimidine,pyrazole,1.188041994
oxazole,pyrrole,1.253301248
thiazole,imidazole,1.7257682311231752
oxazole,imidazole,2.942451755
