SM Substructure,PDT Substructure,#
pyrazole,furan,0.0607210046109011
pyrimidine,pyrrole,0.0853892242520977
pyrrole,pyridazine,0.1744948062364287
pyridine,imidazole,0.1923198032349056
isoxazole,pyrrole,0.2179733190996554
pyrazine,imidazole,0.2199222263765841
imidazole,pyridazine,0.2351512890161097
furan,pyridazine,0.2382734592778761
pyridazine,pyrrole,0.4857394294519068
oxazole,pyrazole,0.7170089409924577
